Year,Genre,
2026,Dance,
2026,Ballad,
2026,Rock,
2026,Ballad,Australia
2026,Pop,
2026,Ballad,
2026,Pop,
2026,Traditional,
2026,Traditional,
2026,Dance,
2026,Opera,
2026,Pop,
2026,Traditional,
2026,Rock,
2026,Traditional,
2026,Ballad,
2026,Rock,
2026,Pop,
2026,Pop,
2026,Dance,
2026,Pop,
2026,Ballad,
2026,Pop,
2026,Pop,
2026,Pop,
2026,Pop,
2026,Pop,
2026,Pop,
2026,Pop,
2026,Pop,
2026,Pop,
2026,Pop,
2026,Ballad,
2026,Ballad,
2026,Ballad,
2025,Opera,
2025,Ballad,
2025,Pop,
2025,Pop,
2025,Ballad,
2025,Traditional,
2025,Ballad,
2025,Traditional,
2025,Pop,
2025,Ballad,
2025,Pop,
2025,Pop,
2025,Traditional,
2025,Pop,
2025,Dance,
2025,Ballad,
2025,Pop,
2025,Pop,
2025,Pop,
2025,Pop,
2025,Ballad,
2025,Pop,
2025,Pop,
2025,Pop,
2025,Dance,
2025,Dance,
2025,Pop,
2025,Pop,Australia
2025,Ballad,
2025,Pop,
2025,Ballad,
2025,Dance,
2025,Ballad,
2025,Dance,
2025,Ballad,
2025,Ballad,
2025,Pop,
2024,Opera,
2024,Pop,
2024,Traditional,
2024,Ballad,
2024,Rock,
2024,Pop,
2024,Traditional,
2024,Pop,
2024,Ballad,
2024,Dance,
2024,Pop,
2024,Pop,
2024,Pop,
2024,Pop,
2024,Ballad,
2024,Ballad,
2024,Pop,
2024,Pop,
2024,Dance,
2024,Pop,
2024,Pop,
2024,Ballad,
2024,Dance,
2024,Rock,
2024,Pop,
2024,Pop,Australia
2024,Rock,
2024,Ballad,
2024,Pop,
2024,Pop,
2024,Ballad,
2024,Rock,
2024,Ballad,
2024,Traditional,
2024,Pop,
2024,Pop,
2023,Pop,
2023,Pop,
2023,Pop,
2023,Rock,
2023,Pop,
2023,Rock,
2023,Pop,
2023,Ballad,
2023,Pop,
2023,Traditional,
2023,Pop,
2023,Pop,
2023,Pop,
2023,Ballad,
2023,Pop,
2023,Pop,
2023,Ballad,
2023,Pop,
2023,Ballad,
2023,Pop,
2023,Ballad,
2023,Pop,
2023,Pop,
2023,Pop,
2023,Rock,
2023,Ballad,
2023,Rock,
2023,Pop,
2023,Traditional,
2023,Ballad,
2023,Rock,
2023,Ballad,
2023,Traditional,
2023,Ballad,
2023,Pop,
2023,Rock,
2023,Pop,
2022,Pop,
2022,Pop,
2022,Ballad,
2022,Ballad,
2022,Pop,
2022,Traditional,
2022,Rock,
2022,Ballad,
2022,Traditional,
2022,Ballad,
2022,Ballad,
2022,Rock,
2022,Dance,
2022,Traditional,
2022,Ballad,
2022,Pop,
2022,Ballad,
2022,Rock,
2022,Pop,
